original_index,dialog_id,turn,utterance,mistral_category,mistral_strategy,qwen_strategy
15084,20180829-141125_448_live,1,"Save the Children, for nearly 100 years have been supporting children around the world. Working in 120 countries globally and in the United States.  Supporting with food, education, shelter and more.",Rational / Impact Appeal,Rational Appeal,Credibility Appeal
15086,20180829-141125_448_live,2,"How likely are you to donate to organizations like Save the Children, that in 2017 alone helped 155 million children world wide",Rational / Impact Appeal,Rational Appeal,Rational Appeal
15088,20180829-141125_448_live,3,"My task here is to convince you to donate a portion of your task payment, to the Save the Children Organization. You have a choice between 0-$2. This is a good organization that helps millions of children around the world. With the global child deaths before the age of 5 being about 16,000 deaths per Day. Not per week, per day!",Rational / Impact Appeal,Rational Appeal,Fear Appeal
15090,20180829-141125_448_live,4,Thats generous of you to consider the children.,Conversation Management,Acknowledgement,Self-feeling Appeal
15092,20180829-141125_448_live,5,"With will be turn 5, need 10 each. What convinced you to donate the .50",Conversation Management,Logistics / Coordination,Activation of Personal Commitment
15094,20180829-141125_448_live,6,Did you know in 2018 1000 children were reportedly killed or injured in intensifying violence in Syria,Rational / Impact Appeal,Rational Appeal,Emotional Appeal
15096,20180829-141125_448_live,7,"Its unfortunate, I am happy this organization is here try to help these children worldwide. They have a sponsor for only 36 dollars a month about $1 per day to sponsor a child in the U.S. or worldwide. Isn't that great deal?",Exchange / Incentives,Rewarding Activity,Framing
15098,20180829-141125_448_live,8,86% is used for programs an services with 9% for fundraising with the remaining 5% utilized for admin costs related to the orgainzation ,Rational / Impact Appeal,Rational Appeal,Credibility Appeal
15100,20180829-141125_448_live,9,"It does seem reasonable, How much would you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment $2. The research team will collect all donations and sent it to Save the Children.",Call to Action,Call to Action,Call to Action
15102,20180829-041046_968_live,0,hello how are u doing this morning?,Conversation Management,Greeting / Rapport,Greeting / Rapport
15104,20180829-041046_968_live,1,"oh well i got up at 3am this morning ,watching and listening to the news ,were these chrildren were going hungrey and sick.",Emotional Influence,Empathy Appeal,Storytelling
15106,20180829-041046_968_live,2,"she mam it would ,the little things is skin and bones ,they have no money for food and clothing",Emotional Influence,Sympathy Appeal,Sympathy Appeal
15108,20180829-041046_968_live,3,"i think they may donate some but not very much ,its so many people and chrildren going without ,starveing and going hungrey and the women over there keep getting pregnate with them knowing this its a shame",Emotional Influence,Emotional Appeal,Sympathy Appeal
15110,20180829-041046_968_live,4,yes or maybe a tube clap surgrey.or something.they are just presious little kids that didnt ask to be brought in this world but they here and needs to be cared for and loved.,Emotional Influence,Sympathy Appeal,Moral Appeal
15112,20180829-041046_968_live,5,well i think the way it gies is that u can send money to this place called save the chrildren and they let u oick a girl or boy and the money you send will go toward there food clothing and school.,Call to Action,Call to Action,
15114,20180829-041046_968_live,6,they send you pictures of the child like every two weeeks .and they keep you up dated on the child.,Rational / Impact Appeal,Rational Appeal,Rewarding Activity
15116,20180829-041046_968_live,7,yes mam i am im going make the biggest donathion i can to help a few of kids.can you make a good dothion today mam ,Call to Action,Call to Action,Social Proof
15118,20180829-041046_968_live,8,"as much as you can give,theres not a set amount",Call to Action,Call to Action,Framing
15120,20180829-041046_968_live,9,you can choose as many as you want and you tell the manger that is over save the chrldren and tell him them payment amount and if you want boys or girls or bough and he will set you up for the payments and he will send you all the informathion out bto you,Conversation Management,Logistics / Coordination,Framing
15122,20180829-041046_968_live,10,"so i hope you make a good desion on helping the chrdlern,we be weighting for your response thank you.",Call to Action,Call to Action,Conversation Closing
15124,20180829-041046_968_live,11,no mam no scam you can pay as little as two dollers.its are moral responisibility to help these kids so pleas i ask of you mam please consider makeing a dothion right now please dont weight every min a child is dieing of hunger,Norms / Morality / Values,Moral Appeal,Moral Appeal
15125,20180829-093239_896_live,0,Hey how are you doing today?,Conversation Management,Greeting / Rapport,Greeting / Rapport
15127,20180829-093239_896_live,1,It's also very warm here. I was curious if you have ever heard of a charity called Save the Children?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
15129,20180829-093239_896_live,2,"Save the Children is an organization that promotes children's rights, provides relief and helps support children is developing countries.",Rational / Impact Appeal,Rational Appeal,Non-persuasive Other
15131,20180829-093239_896_live,3,They help children in 120 different countries. I was hoping you would be interested in donating a small amount of .10 to help a child that will never have the same opportunities as us? ,Rational / Impact Appeal,Rational Appeal,Empathy Appeal
15133,20180829-093239_896_live,4,Is this the first time that you have ever donated to a charity before. Many people tell me that they feel very fulfilled as a person knowing that they have been able to contribute to another individual.,Commitment / Consistency,Activation of Personal Commitment,Self-feeling Appeal
15135,20180829-093239_896_live,5,I have donated to them before. Here is their website if you would like to take a look at it when you get a chance  URL ,Exchange / Incentives,Reciprocity,Logistics / Coordination
15137,20180829-093239_896_live,6,"""How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment.",Call to Action,Call to Action,Framing
15139,20180829-093239_896_live,7,I have donated in the past but plan on donating more regularly. ,Commitment / Consistency,Activation of Personal Commitment,Credibility Appeal
15141,20180829-093239_896_live,8,No I am not but I will be sure to look into it son because it sounds very interesting.,Conversation Management,Greeting / Rapport,Acknowledgement
15143,20180829-093239_896_live,9,I do not. I appreciate your donation towards Save the Children today!,Call to Action,Call to Action,Acknowledgement
15145,20180829-034023_393_live,0,"Hi, how are you today?",Conversation Management,Greeting / Rapport,Greeting / Rapport
15147,20180829-034023_393_live,1,"Not too bad, thank you. So how do you feel about charities?",Conversation Management,Qualification / Segmentation,Charity Awareness Probe
15149,20180829-034023_393_live,2,Have you ever heard of Save the Children?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
15151,20180829-034023_393_live,3,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",Rational / Impact Appeal,Rational Appeal,Non-persuasive Other
15153,20180829-034023_393_live,4,"Your donations go towards helping the children who need it most, like the children in war zones, or developing countries. They provide children's rights to health, education, safety and so much more.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
15155,20180829-034023_393_live,5,"For instance they have emergancy response for shildren who are in a natural disaster or such, or provide refugee families with shelter, and not for more then say what you would spend on a candy bar or your snack of choice of course",Rational / Impact Appeal,Rational Appeal,Framing
